10/1/2017,0,0,0
10/2/2017,0,0,0
10/3/2017,0,0,0
10/4/2017,0,0,0
10/5/2017,0,0,0
10/6/2017,0,0,0
10/7/2017,2,0,1
10/8/2017,1,0,0.5
10/9/2017,5,0,2.5
10/10/2017,4,0,2
10/11/2017,3,0,1.5
10/12/2017,8,0,4
10/13/2017,6,0,3
10/14/2017,4,1,2.5
10/15/2017,1,0,0.5
10/16/2017,1,0,0.5
10/17/2017,1,2,1.5
10/18/2017,3,2,2.5
10/19/2017,2,1,1.5
10/20/2017,2,0,1
10/21/2017,1,0,0.5
10/22/2017,1,0,0.5
10/23/2017,1,0,0.5
10/24/2017,1,0,0.5
10/25/2017,1,2,1.5
10/26/2017,5,4,4.5
10/27/2017,10,3,6.5
10/28/2017,9,2,5.5
10/29/2017,6,2,4
10/30/2017,6,1,3.5
10/31/2017,6,0,3
11/1/2017,5,0,2.5
11/2/2017,8,0,4
11/3/2017,7,0,3.5
11/4/2017,8,0,4
11/5/2017,7,0,3.5
11/6/2017,10,0,5
11/7/2017,9,0,4.5
11/8/2017,9,0,4.5
11/9/2017,9,0,4.5
11/10/2017,10,0,5
11/11/2017,10,4,7
11/12/2017,9,5,7
11/13/2017,8,5,6.5
11/14/2017,10,4,7
11/15/2017,8,5,6.5
11/16/2017,9,5,7
11/17/2017,8,5,6.5
11/18/2017,8,5,6.5
11/19/2017,7,5,6
11/20/2017,10,6,8
11/21/2017,9,6,7.5
11/22/2017,9,6,7.5
11/23/2017,11,6,8.5
11/24/2017,10,5,7.5
11/25/2017,10,5,7.5
11/26/2017,16,5,10.5
11/27/2017,14,5,9.5
11/28/2017,13,5,9
11/29/2017,13,5,9
11/30/2017,13,5,9
12/1/2017,13,5,9
12/2/2017,13,5,9
12/3/2017,13,5,9
12/4/2017,16,6,11
12/5/2017,17,6,11.5
12/6/2017,17,6,11.5
12/7/2017,17,6,11.5
12/8/2017,16,10,13
12/9/2017,18,16,17
12/10/2017,17,15,16
12/11/2017,16,16,16
12/12/2017,16,16,16
12/13/2017,17,14,15.5
12/14/2017,17,14,15.5
12/15/2017,21,16,18.5
12/16/2017,20,18,19
12/17/2017,18,19,18.5
12/18/2017,18,19,18.5
12/19/2017,18,24,21
12/20/2017,18,24,21
12/21/2017,18,22,20
12/22/2017,23,21,22
12/23/2017,23,20,21.5
12/24/2017,22,21,21.5
12/25/2017,20,23,21.5
12/26/2017,20,24,22
12/27/2017,20,26,23
12/28/2017,20,27,23.5
12/29/2017,20,26,23
12/30/2017,19,26,22.5
12/31/2017,18,26,22
1/1/2018,20,27,23.5
1/2/2018,20,27,23.5
1/3/2018,20,27,23.5
1/4/2018,20,26,23
1/5/2018,20,24,22
1/6/2018,20,24,22
1/7/2018,20,24,22
1/8/2018,25,24,24.5
1/9/2018,25,24,24.5
1/10/2018,24,24,24
1/11/2018,23,24,23.5
1/12/2018,27,29,28
1/13/2018,26,30,28
1/14/2018,25,30,27.5
